source_system,evidence_type,evidence_group,period,period_label,period_order,domain,diagnostic,value,units,classification,raw_score,weight,weighted_score,support_direction,evidence_strength,confidence,interpretation,limitation,source_table
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,div200,-5.755052278032781e-07,s-1,convergence,1.0,0.5,0.5,supports_dry_kiremt,moderate_dry_support,low_to_moderate,Upper-level convergence may suppress deep convection and supports dry-risk interpretation.,Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,mfc850,8.465861829215095e-09,kg kg-1 s-1 approximately,moisture_convergence,-1.0,0.5,-0.5,supports_wet_or_reduces_dry_risk,moderate_wet_support,low_to_moderate,Low-level moisture-flux convergence supports rainfall potential.,Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,omega500,-0.0054570209459301,Pa s**-1,rising_motion_tendency,-1.0,0.5,-0.5,supports_wet_or_reduces_dry_risk,moderate_wet_support,low_to_moderate,Negative omega indicates rising-motion tendency and supports rainfall potential.,Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,omega700,-0.0276787098938263,Pa s**-1,rising_motion_tendency,-1.0,0.5,-0.5,supports_wet_or_reduces_dry_risk,moderate_wet_support,low_to_moderate,Negative omega indicates rising-motion tendency and supports rainfall potential.,Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,q850,0.0104754645885927,kg kg**-1,not_classified,0.0,0.25,0.0,neutral_mixed_or_context_only,neutral_or_context,context_only,"q850 is retained as circulation context, but it is not scored because raw values require anomaly or pattern-based interpretation.",Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,qu850,0.0265157768155743,kg kg-1 m s-1,not_classified,0.0,0.25,0.0,neutral_mixed_or_context_only,neutral_or_context,context_only,"qu850 is retained as circulation context, but it is not scored because raw values require anomaly or pattern-based interpretation.",Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,qv850,0.041719547730842,kg kg-1 m s-1,not_classified,0.0,0.25,0.0,neutral_mixed_or_context_only,neutral_or_context,context_only,"qv850 is retained as circulation context, but it is not scored because raw values require anomaly or pattern-based interpretation.",Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,sst_proxy,303.4665113830432,K,not_classified,0.0,0.25,0.0,neutral_mixed_or_context_only,neutral_or_context,context_only,"sst_proxy is retained as circulation context, but it is not scored because raw values require anomaly or pattern-based interpretation.",Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,strf200,-17323173.48532735,m**2 s**-1,not_classified,0.0,0.25,0.0,neutral_mixed_or_context_only,neutral_or_context,context_only,"strf200 is retained as circulation context, but it is not scored because raw values require anomaly or pattern-based interpretation.",Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,tej_strength,16.20283939870558,m s**-1,moderate_tej,-1.0,0.5,-0.5,supports_wet_or_reduces_dry_risk,moderate_wet_support,low_to_moderate,Moderate/strong TEJ supports an active Kiremt upper-level jet background and reduces dry-risk confidence.,Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
CFSv2_NOMADS_June2026_init,cfsv2_raw_dynamic_consistency,dynamic_circulation_forecast,Jun,June 2026,1,ethiopia,u200,-16.20283939870558,m s**-1,easterly_flow,-0.5,0.5,-0.25,supports_wet_or_reduces_dry_risk,weak_wet_support,low,Easterly 200 hPa flow is consistent with TEJ background and supports rainfall potential.,Raw CFSv2 forecast field; not an anomaly relative to model hindcast climatology.,cfsv2_dynamic_area_mean_diagnostics.csv
